vinho,preço,comentário_do_sommelier,uva,país,região,classificação,vinícola,teor_alcoólico,temperatura_de_serviço,olfativo,visual,gustativo,harmonização
Paine Pink Moscato 2021,38.71,rosé elaborado uvas moscatel alexandria syrah vale central chileno vinícola viñedos y frutales vyf top maiores vinícolas chilenas exportações primeiras vinícolas chilenas receber certificado vinícola sustentável vinhos chile breve passagem tanques aço inox contato borras adquirir volume complexidade boca vinho perfil descomplicado exemplar versátil agrada facilidade expressivos aromas frutados acentuado frescor ótima dica busca vinho paladar adocicado ideal dia dia momentos leves descontraídos,moscatel alexandria syrah,chile,valle central,meio seco,vyf wines,12.5,8.0,frutas vermelhas silvestres morango framboesa sutis aromas toranja rosa pêssego,rosa pálido,vinho jovem leve frutado acidez vibrante refrescante final agradável,aposte pratos leves carnes brancas molhos base azeite queijos cremosos bom contraste comidas apimentadas causa dulçor dicas acarajé moqueca quiabo refogado curry dadinho tapioca geleia pimenta
Finca Traversa Sauvignon Blanc 2021,38.71,vinho leveza frescor deixa incrível sensação querer próximo gole ideal dias quentes momentos descontraídos piscina praia amigos,sauvignon blanc,uruguai,montevidéu,seco,familia traversa,13.5,8.0,frutas cítricas maçã verde notas herbáceas,amarelo claro reflexos esverdeados,vinho leve frutado acidez refrescante agradável,acidez desse vinho ideal acompanhar salgados fritos coxinha frango exemplo agora quiser pratos elaborados aposte carnes brancas massas molho branco amanteigado dica pescada creme alcaparras espaguete manteiga ervas evite carnes vermelhas
Los Pueblos Viognier 2020,44.59,viognier uva gera vinhos charmosos encorpados sabor marcante exemplar elaborado mendoza carrega selo vegan friendly,viognier,argentina,mendoza,seco,bodega don cristóbal 1492,13.7,9.0,frutas tropicais,dourado,fresco suave final persistente,bolinho bacalhau quiche abobrinha pizza tomate seco rúcula salada césar
Its Wine O Clock Carménère 2020,44.59,cor rubi intenso sabor frutas frescas cereja groselha picante toque final chocolate baunilha ideal acompanhar massas queijos macios cremosos carnes vermelhas,carménère syrah,chile,valle central,meio seco,vyf wines,13.0,15.0,frutas vermelhas cereja groselha chocolate baunilha,rubi,suave bem equilibrado maduro taninos agradáveis,massas queijos macios cremosos carnes vermelhas
Finca Traversa Tannat 2021,38.71,tannat uva emblemática uruguai estrela desse exemplar vinho jovem agradável intensidade notável expressividade frutada taninos presentes bem equilibrados acidez agradável marcante paladar excelente acompanhar carnes vermelhas cortes gordurosos pratos estruturados,tannat,uruguai,montevidéu,meio seco,familia traversa,12.5,16.0,intensos aromas frutas vermelhas frutas vermelhas secas notas minerais,vermelho intenso,vinho jovem corpo médio frutado taninos presentes acidez agradável refrescante,opte pratos média estrutura carnes vermelhas assadas cozidas carnes brancas intensas molhos base tomate queijos levemente picantes dicas carnes vermelhas cortes gordurosos sanduíche costela suína lasanha berinjela
Ímpetu Carménère,35.18,elaborado carménère uva tinta emblemática chile tinto apresenta perfil descomplicado fácil beber,carménère,chile,valle central,meio seco,viña san pedro,12.0,16.0,amora cereja especiarias baunilha,rubi,corpo leve fresco macios,lasanha berinjela queijo pimentão recheado espaguete almôndegas filé fritas panqueca carne pizza
Paine Merlot 2021,38.71,merlot elaborado vale central chileno vinícola viñedos y frutales vyf top maiores vinícolas chilenas exportações primeiras vinícolas chilenas receber certificado vinícola sustentável vinhos chile linha paine nome homenagem paine national park engloba florestas antigas montanhas glaciares lagos rios patagônia chilena estilo fácil beber exemplar agrada facilidade excelente pedida entrando mundo vinho quer algo descomplicado dia dia aproveite harmonizar bons momentos refeições diárias,merlot,chile,valle central,seco,vyf wines,13.0,16.0,frutas vermelhas frutas negras toques especiarias doces,cor púrpura intensa,vinho jovem corpo leve médio frutado acidez agradável taninos macios,opte pratos leves média estrutura carnes macias molhos base tomate queijos semiduros dicas pizza calabresa carne panela legumes espaguete sugo
Ímpetu D.O. Valle Central Rosé 2021,35.18,rosé jovem frutado refrescante elaborado cabernet sauvignon estilo vinho descomplicado agrada diversos paladares acompanha perfeitamente momentos leves descontraídos petiscos pratos simples apenas degustando,cabernet sauvignon,chile,valle central,seco,viña san pedro,12.5,10.0,intensos aromas frutas vermelhas frescas morango,rosa pálido,vinho jovem leve frutado equilibrado acidez agradável refrescante,vinho leve aposte pratos mesma estrutura dica quiche tomate seco peixe frito filé frango grelhado molho
Ímpetu Merlot,35.18,breve amadurecimento madeira tinto frutado macio traz merlot uva origem francesa adaptou bem terroir chileno estilo fácil beber exemplar indicado iniciando mundo vinho busca rótulos descomplicados ideal aproveitado momentos descompromissados relaxantes elaborado uvas selecionadas diversas regiões chile expressando verdadeiro terroir,merlot,chile,não especificada,meio seco,viña san pedro,12.0,16.0,aromas frutas vermelhas amora ameixa vermelha sutis notas especiarias baunilha,vermelho rubi reflexos violáceos,corpo médio frutado suculento taninos suaves fresco final redondo,vinho corpo médio taninos suaves frutado aparente aposte pratos média estrutura pratos agridoces condimentados dicas arroz carreteiro lasanha berinjela lombo porco recheado ameixa bacon batatas recheadas
Juan Cristóbal Shiraz 2021,38.71,juan cristóbal linha entrada vinícola bodega don cristóbal elaborado mendonza argentina exemplar cheio personalidade feito uva shiraz ótima oportunidade conhecer uva terroir argentino vinho expressivo aromas frutados toques especiarias boca macio agradável combina bem receitas aromáticas levam pimenta preta pimenta síria,shiraz,argentina,mendoza,seco,bodega don cristóbal 1492,13.7,16.0,frutas negras toques especiarias,rubi intenso,vinho jovem corpo médio frutado toques especiarias taninos macios final agradável,opte pratos média estrutura carnes vermelhas brancas intensas molhos base tomate especiarias queijos semiduros dicas costela molho barbecue hambúrguer bacon cebola caramelizada quibe assado abóbora especiarias
Espumante Chandon Rosé Brut Baby 187 mL,38.71,perlage fina abundante espumante possui aroma frutas vermelhas morango amora cereja acerola toque sutil especiarias doces paladar equilibrado fresco corpo leve médio cremoso aveludado elaborado método charmat exemplar assinado chandon brasil braço brasileiro francesa möet chandon unindo arte tradição fazer espumantes terroir garibaldi,riesling itálico pinot noir chardonnay,brasil,serra gaúcha,brut,chandon brasil,11.9,7.0,morango amora cereja acerola especiarias doces,rosa claro,equilibrado corpo leve médio fresco cremoso aveludado,atum grelhado carnes churrasqueadas salada caprese carpaccio penne molho camarão queijos frescos semimoles
Juan Cristóbal Verdelho 2022,41.06,juan cristóbal linha entrada vinícola bodega don cristóbal produzido mendonza argentina vinho exótico único argentina aromas frutados totalidade floral potente agradável frescor realçado equilibrada acidez boca vinho refrescante,verdelho,argentina,mendoza,seco,bodega don cristóbal 1492,12.8,9.0,frutas tropicais toques cítricos floral,amarelo dourado,vinho jovem leve frutado acidez média alta confere agradável frescor,opte pratos leves carnes brancas molhos cítricos untuosos azeite manteiga base queijos cremosos dicas ceviche peixe branco filé peixe legumes risoto alho poró
Juan Cristóbal Merlot 2021,38.71,juan cristóbal linha entrada vinícola bodega don cristóbal elaborado mendonza argentina colheita manual maior rigor separação cachos produção exemplar qualidade bom versão queridinha merlot terroir argentino vinho elegante redondo amável paladar vinho leve macio saboroso,merlot,argentina,mendoza,seco,bodega don cristóbal 1492,13.8,16.0,intensos aromas frutas negras toques especiarias doces,rubi intenso,vinho jovem corpo leve médio frutado redondo taninos macios,opte pratos média estrutura carnes vermelhas magras carnes brancas intensas molhos base tomate frutas negras queijos semiduros dicas pizza bacon mel bolinho abóbora carne seca dadinhos tapioca queijo geleia frutas negras
Finca Traversa Cabernet Sauvignon 2021,38.71,cabernet sauvignon elaborado uruguai ótima opção dia dia harmonizado desfrutar assistindo filme conversando amigos vinho jovem macio paladar refrescante fácil beber agradar,cabernet sauvignon,uruguai,montevidéu,meio seco,familia traversa,12.5,15.0,frutas vermelhas pimentão verde especiarias,rubi intenso,vinho jovem corpo leve médio frutado taninos macios acidez agradável,opte pratos estrutura leva média carnes vermelhas assadas cozidas carnes brancas intensas molhos base tomate especiarias queijos dica carne panela massa molho bolonhesa lasanha queijos
Perdigón Chardonnay 2021,46.94,enólogo las perdices juan carlos muñoz filho fundador vinícola don juan muñoz lopes filosofia produção combina mão homem cuidado especial uva priorizando respeito ambiente foco tipicidade vinhos expressam todo potencial uvas terroir exemplar excelente escolha dias quentes praia piscina refrescante paladar bem frutado,chardonnay,argentina,mendoza,seco,viña las perdices,12.5,10.0,frutas cítricas flores brancas maracujá limão,,vinho jovem leve frutado acidez agradável refrescante,saladas tilápia molho maracujá frango grelhado legumes salteados manteiga espaguete frutos mar
Paine Carménère 2021,38.71,carménère elaborado vale central chileno vinícola viñedos y frutales vyf top maiores vinícolas chilenas exportações primeiras vinícolas chilenas receber certificado vinícola sustentável vinhos chile linha paine nome homenagem paine national park engloba florestas antigas montanhas glaciares lagos rios patagônia chilena exemplar estilo fácil beber agradar perfil frutado convidativo apreciar maiores preocupações simples prazer,carménère,chile,valle central,seco,vyf wines,13.0,16.0,frutas vermelhas cereja especiarias vegetal toques chocolate baunilha,rubi intenso,vinho jovem corpo leve médio frutado acidez agradável taninos macios,opte pratos leves média estrutura carnes vermelhas magras assadas cozidas carnes brancas intensas molhos base tomate especiarias queijos dicas bisteca porco carne panela legumes espaguete sugo
Paine Syrah 2021,38.71,syrah descomplicado apresenta gostosa harmonia características uva deu origem influência breve amadurecimento carvalho apreciado qualquer momento acompanhando refeição apenas degustado compromisso,syrah,chile,valle central,seco,vyf wines,12.5,16.0,aromas frutas negras especiarias sutis toques baunilha,rubi intenso,vinho jovem leve frutado sutis notas especiarias taninos macios acidez agradável,aposte pratos leves carnes magras molhos base tomate especiarias queijos embutidos dicas pizza calabresa macarrão bolonhesa quibe berinjela
Altos de Batuco Reserva Carménère Syrah 2021,41.06,blend uvas carménère syrah vale central chile onde vinho envelheceu meses barricas velhas carvalho francês cubas cimento agregar estrutura arredondar taninos perder características naturais uvas exemplar vai acompanhar bem pratos condimentados,carménère syrah,chile,valle central,seco,vfc wines,13.5,16.0,frutas vermelhas especiarias toques herbáceos,rubi reflexos violáceos,vinho jovem corpo médio frutado toques especiarias taninos redondos,opte pratos média estrutura carnes vermelhas assada grelhadas cozidas carnes brancas intensas molhos base tomate queijos especiarias dicas carne assada frango assado alecrim curry quibe abóbora especiarias
1922 Bonarda 2021,35.18,vinho nomeado homenagem primeira vinha plantada família barberis mendoza bonarda casta querida argentinos carinhosamente associada uva revigorante alma dá origem vinhos taninos suaves alta acidez frescor caráter frutado costuma agradar apreciadores iniciantes vinho fácil textura macia sedosa características desse torna agradável democrático alcançando diferentes paladares,bonarda,argentina,mendoza,seco,bodega barberis,13.5,15.0,frutas vermelhas acompanhadas notas especiarias doces,rubi profundo reflexos violáceos,entrada delicada corpo médio frutado nuances especiarias taninos suaves fresco boa intensidade,aposte pratos média estrutura carnes macias molhos base tomate comidas empanadas queijos semiduros dicas hambúrguer geleia bacon macarrão almondegas berinjela empanada
Altos Del Condor Malbec 2021,41.06,exemplar fiel características uva símbolo argentina malbec vinho jovem macio paladar intensas notas frutas vermelhas descomplicado todavia marcante excelente momentos descontraídos amigos enquanto assiste série,malbec,argentina,mendoza,seco,grupo peñaflor,12.5,16.0,frutas vermelhas frescas frutas negras,rubi intenso,jovem frutado corpo leve médio taninos redondos paladar macio boa acidez,vinho jovem corpo leve médio taninos presentes aposte pratos mesma estrutura dica empanadas carne berinjela gratinada forno filé fritas
